Strains	Propidium_p.value	Propidium_Mean	Propidium_est	Propidium_ci	Propidium_p.adj	Suberin_p.value	Suberin_Mean	Suberin_est	Suberin_ci	Suberin_p.adj
L415	1.72847854204445e-10	-1.14198392356228	-1.26117797483508	0.149379481290677	2.39682357830163e-08	0.00602523154762808	0.00364150855950035	1.14585048394756	0.694527588837616	0.0125324816190664
L416	0.294545387629375	-0.127959291232165	-0.247366261244405	0.541474124569755	0.421068320459863	0.582355901725502	-1.05630095432664	0.153629206708471	0.628312965016107	0.625994974464622
L42	0.010948873637361	-0.159418747716176	-0.272392284990942	0.227347344792093	0.034287526852122	0.000363014233703418	1.32664498621205	2.23021461380247	0.603537574393604	0.00151013921220622
L420	0.00953975377467678	1.1237102307439	1.00430326073167	0.657344749966752	0.0314963299227424	0.00383823756133401	-1.6605987079874	-0.450668546952288	0.164388694279428	0.0087731144259063
L427	9.96155877305683e-09	-1.07631403187919	-1.19572100189143	0.208648992364849	5.18001056198955e-07	0.0137954331796472	-0.768318633378843	0.441611527656271	0.281642550132514	0.024843723821356
L434	0.00943074994779869	-0.694891574431907	-0.814085625704705	0.662979748762355	0.031385535826274	0.011981404842012	0.62970000566343	1.77190898105149	1.16362757973988	0.0224516415057523
L436	0.597533034622737	-0.1586432893785	-0.277837340651299	1.40199153502567	0.694340062578376	0.0215656603326307	0.468904178311267	1.61111315369932	1.24753507932524	0.0353201366077731
L44	0.0405013237721293	1.06046265743543	0.953475049481697	0.886888308883647	0.09107324696868	0.0656983256130453	0.209103530430111	0.870275332506874	0.958882317558933	0.0920218971549725
L443	0.000259836574897568	-0.157312865270855	-0.276719835283095	0.140487764751974	0.00163775780541497	0.255068941419712	-1.39024700671257	-0.180316845677451	0.265334539864157	0.299742032854803
L446	8.368428919327e-06	-1.0284201408371	-1.14782711084934	0.197739948673323	9.94647551554294e-05	0.000872098910452296	-0.46109126539623	0.748838895638885	0.325646898921177	0.00292575118345286
L453	3.6632094757511e-05	-0.882618698888196	-1.00181275016099	0.333805190235066	0.000338643364869435	8.27234494410558e-06	1.54402280263771	2.68623177802577	1.40326065020552e-16	9.63423575424803e-05
L454	0.411032594809047	0.590824203246586	0.471630151973788	1.50856441251723	0.539399241137424	0.732418711401121	-1.05333545871774	0.0888735166703156	0.570402642134658	0.771357427703459
L456	5.19148161060029e-10	-1.18003628011936	-1.2994432501316	0.167075037649415	5.3991408750243e-08	0.0115461643141819	-0.555122104247742	0.654808056787373	0.449478193106858	0.0219549062929962
L459	1.16688774897669e-10	-0.954808024563226	-1.07421499457547	0.10985403200279	2.39682357830163e-08	0.00020641879888625	-0.186001665556109	1.02392849547901	0.3706310902538	0.00104520928051136
L460	0.0106435863747296	2.92538217548934	2.80618812421654	1.81822266992699	0.0339495219970079	0.534143270755993	-1.27083854285785	-0.128629567469791	0.448547460780203	0.577152209440242
L465	4.71927157881185e-05	-0.66989774168842	-0.789091792961218	0.270041678838503	0.000416157005565243	5.05078715884676e-05	1.27272709767947	2.41493607306753	0.663836675627045	0.000411985776094167
L466	0.00243863490895676	-0.592588296903516	-0.711782348176315	0.449986488322974	0.0107922566183618	0.214900142768146	-0.387860190116181	0.754348785271877	1.41560478201592	0.259125969250866
L469	2.23655273931071e-06	-1.16545824132079	-1.28465229259359	0.269391411827688	3.72162375821303e-05	4.90526832568559e-07	1.12142464179307	2.26363361718113	0.386586811294379	2.14131346253704e-05
L48	0.172049041471964	-0.0404376668442865	-0.14742527479802	0.246174819361717	0.287439362459186	0.0182132046526928	0.103622229244055	0.764794031320818	0.538179672909048	0.0307995655915456
L49	0.0467132601912861	1.16890420627511	1.06065530335658	1.07027427091913	0.101741969840707	0.240150165902471	-0.015306662950855	0.247611012565643	0.457711706145905	0.284622418847373
L5	0.403106431148787	0.50906634733272	0.397658783788796	1.1812354627935	0.534051832349986	0.00280773375358791	0.98293395829226	2.15581761664637	0.985259703843376	0.00712205635056445
L50	0.850914946380275	0.182709259903308	0.0758983127057546	1.97154979192742	0.893848709955352	0.160293088501482	-0.453181784805213	0.369888360382662	0.76650631170119	0.199646481486876
L51	0.672775057296123	0.0153056300405869	-0.0915053171569669	0.524468870285536	0.752350601707493	0.0110145704732869	-0.392680085684904	0.43039005950297	0.238140706556396	0.0212132468374414
L53	0.0300235533634218	-0.55324803633813	-0.660058983535684	0.565368035434578	0.0730397555507806	0.000573416471394023	1.12586715983284	1.94893730502071	0.718691632202153	0.00211525806017669
