Strains	lavene	p.value	p.valueW	Mean	fc	ci	p.adj
L285	0.889388200046196	0.00196164115460475	0.0303828219765775	0.833479541400779	0.451844059765297	0.181459716802702	0.00463577274384984
L288	0.524934698576335	0.790741150543222	0.594032340599042	0.398577811984106	0.0169423303486248	0.0705039645602718	0.819106160866576
L289	0.440300197498831	0.0041932886318813	0.0194510333313625	0.817043238435616	0.435407756800134	0.214183809902177	0.00854585007732323
L233	0.245291391074172	0.000167874796919567	0.00811311726556578	0.65260943577845	0.312072928393732	0.108955608314605	0.000618016951491504
L234	0.428804877668085	0.377036814820946	0.391267279282639	0.375058222669779	0.0345217152850604	0.0990421911409399	0.422769043033729
L242	0.047698144420936	6.69560196876454e-06	0.0179428113356381	1	0.659463492615282	1.0199542494133e-16	5.35648157501163e-05
L244	0.531561009216812	0.0471196618045348	0.0828374251588063	0.42090823258655	0.0803717252018313	0.0676743897927841	0.0678262259885345
L254	0.207188926093045	0.0107413996244014	0.0661925797221935	0.770950594121326	0.430414086736607	0.443813834489903	0.0187748833771049
L258	0.263510250962062	0.000460681413066553	0.00811311726556578	0.62490959981324	0.284373092428521	0.115014624630176	0.00136888191311204
L263	0.944628453932641	0.0626391083780775	0.0828374251588063	0.402652144181879	0.0621156367971606	0.0509246538931997	0.0868595636176009
L264	0.852480856062558	0.638010908649383	0.784191229401619	0.354185721583074	0.0136492141983558	0.0471037899674989	0.67880444500804
L278	0.281277347760135	0.000140902520975341	0.0111594252829148	0.876115942028985	0.535579434644267	0.21112017065641	0.00053729073269609
L280	0.461093583391964	0.00106800452537688	0.0179428113356381	0.886986301369863	0.546449793985145	0.359660027651926	0.00270908464973648
L283	0.867757345523761	0.188079346400296	0.235333266509586	0.297042046051024	-0.0434944613336942	0.0548664321517835	0.226130081221165
L291	0.825421604384424	3.01968713322507e-06	0.0199644533052161	0.955696202531646	0.615159695146927	0.140994456563202	3.18651583821536e-05
L294	0.108202547922841	0.00117444826128504	0.00811311726556578	0.591050726979678	0.250514219594959	0.116405633330172	0.00294319564273842
L296	0.53096288355434	0.834911948159165	0.676103314023147	0.348912466843501	0.008375959458783	0.0900653606199702	0.853374374531235
L299	0.492596115209831	0.820062057013033	0.927264473525232	0.346375830450436	0.00583932306571755	0.0364646247637604	0.842335347450424
L304	0.479462154276195	0.000286572140880511	0.0130618452007295	0.905494505494505	0.480778447118346	0.157913654885616	0.00095371208485034
L336	0.232349306295541	0.791540088145105	0.668869942079093	0.443956715154327	0.0192406567781676	0.140370639886658	0.819106160866576
L337	0.963606601582212	0.114110150564425	0.109819408815237	0.479354777321596	0.0546387189454365	0.0525299892702584	0.147881067398134
L339	3.68093297985152e-08	0.000119300366288578	0.00574114237923868	1	0.575283941623841	0	0.000472656689295701
L341	0.150611686727902	0.00277882084887865	0.013921913328144	0.801130351130351	0.376414292754192	0.178423117554439	0.00602077850590373
L343	0.0826389551966603	0.00215265920712608	0.013921913328144	0.80591318560492	0.381197127228761	0.17275052506654	0.00497503461202473
L50	0.765155360620858	0.0991569537008178	0.111611768298292	0.514611486486487	0.0898954281103272	0.186287054202953	0.131786877762109
L51	0.925619094058108	0.013199392968875	0.0142140388690821	0.529315453213625	0.104599394837465	0.057876275815319	0.021963789900208
